State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Unemployment
Iowa,Iowa County,16231,8009,8222,2.5,95.6,0.8,0.0,0.2,0.0,58077,29881,9.8,2.1
Iowa,Jackson County,19409,9639,9770,1.4,95.7,0.6,0.0,0.5,0.7,51806,27672,12.0,4.7
Iowa,Jasper County,36789,18797,17992,2.0,94.2,1.6,0.2,0.4,0.1,56363,27214,9.1,4.6
Iowa,Jefferson County,17945,9511,8434,2.9,80.6,5.8,0.0,5.2,0.0,44516,26630,15.2,6.7
Iowa,Johnson County,144425,71463,72962,5.5,79.6,6.3,0.2,6.2,0.1,59965,33039,17.7,3.3
Iowa,Jones County,20468,10528,9940,1.8,94.4,2.5,0.4,0.1,0.0,58391,29653,9.1,4.2
Iowa,Keokuk County,10223,5196,5027,1.5,96.8,0.1,0.1,0.4,0.1,48399,26638,11.2,5.3
Iowa,Kossuth County,15166,7598,7568,2.2,95.5,0.8,0.1,0.6,0.0,54868,29949,10.0,2.1
Iowa,Lee County,34785,17553,17232,3.5,91.0,2.5,0.1,0.6,0.0,48266,24408,16.3,7.6
Iowa,Linn County,220008,108534,111474,3.1,87.0,4.8,0.1,2.3,0.1,62702,32786,9.5,3.8
Iowa,Louisa County,11238,5743,5495,15.8,78.6,1.0,0.3,3.9,0.0,54393,27234,11.0,4.1
Iowa,Lucas County,8600,4343,4257,0.1,99.1,0.1,0.0,0.0,0.0,47325,27234,9.9,4.2
Iowa,Lyon County,11745,6011,5734,2.5,96.1,0.1,0.2,0.2,0.1,62012,28356,4.9,2.4
Iowa,Madison County,15720,7870,7850,1.8,95.9,0.2,0.0,1.1,0.0,60077,31449,7.3,5.2
Iowa,Mahaska County,22301,11293,11008,2.0,93.8,1.5,0.2,1.3,0.1,50568,26575,14.4,5.6
Iowa,Marion County,33127,16341,16786,1.9,94.8,0.6,0.3,1.1,0.0,57917,27815,9.3,3.6
Iowa,Marshall County,40476,20400,20076,20.7,72.5,1.0,0.2,3.2,0.0,52752,25693,11.2,5.3
Iowa,Mills County,14933,7487,7446,2.8,94.6,0.8,0.5,0.2,0.0,67949,31309,9.1,3.2
Iowa,Mitchell County,10663,5288,5375,1.3,96.8,0.1,0.3,0.6,0.0,53675,27407,8.3,3.6
Iowa,Monona County,8865,4388,4477,0.8,95.2,0.1,2.6,0.2,0.0,41598,26829,14.9,3.2
Iowa,Monroe County,7912,4029,3883,2.8,93.5,0.1,0.0,0.9,0.0,50179,25929,10.9,5.6
