full_name,diameter,rot_per
   486 Cremona (1902 JB),22.781,65.15
   487 Venetia (1902 JL),59.046,13.34
   488 Kreusa (1902 JG),168.117,32.666
   489 Comacina (1902 JM),139.39,9.02
   490 Veritas (1902 JP),118.803,7.930
   491 Carina (1902 JQ),91.176,15.153
   492 Gismonda (1902 JR),53.418,6.488
   493 Griseldis (1902 JS),41.550,51.940
   494 Virtus (1902 JV),100.786,5.57
   495 Eulalia (1902 KG),37.287,28.967
   496 Gryphia (1902 KH),14.403,1072.
   497 Iva (1902 KJ),40.932,4.620
   498 Tokio (1902 KU),81.83,41.85
   499 Venusia (1902 KX),77.328,13.48
   500 Selinur (1903 LA),40.828,8.0111
   501 Urhixidur (1903 LB),74.457,13.1743
   502 Sigune (1903 LC),15.805,10.922
   503 Evelyn (1903 LF),81.68,38.780
   504 Cora (1902 LK),30.438,7.588
   505 Cava (1902 LL),115,8.1789
   506 Marion (1903 LN),105.94,13.546
   507 Laodica (1903 LO),45.170,4.706
   508 Princetonia (1903 LQ),117.241,52.8
   509 Iolanda (1903 LR),51.892,12.306
   510 Mabella (1903 LT),60.450,19.4
   511 Davida (1903 LU),270.327,5.1297
   512 Taurinensis (1903 LV),23.09,5.585
   513 Centesima (1903 LY),48.805,5.23
   514 Armida (1903 MB),120.093,21.851
   515 Athalia (1903 ME),41.190,10.636
   516 Amherstia (1903 MG),65.144,7.4842
   517 Edith (1903 MH),111.890,9.2747
   518 Halawe (1903 MO),16.157,14.310
   519 Sylvania (1903 MP),40.078,17.962
   520 Franziska (1903 MV),25.261,16.507
   521 Brixia (1904 NB),107.227,28.479
   522 Helga (1904 NC),101.22,8.129
   523 Ada (1904 ND),31.89,10.03
   524 Fidelio (1904 NN),65.527,14.198
   525 Adelaide (1908 EKa),9.326,19.967
   526 Jena (1904 NQ),44.840,9.474
   527 Euryanthe (1904 NR),52.627,26.06
   528 Rezia (1904 NS),91.966,7.337
   529 Preziosa (1904 NT),32.01,27.
   530 Turandot (1904 NV),84.85,19.960
   531 Zerlina (1904 NW),17.804,16.706
   532 Herculina (1904 NY),167.791,9.405
   533 Sara (1904 NZ),30.819,11.654
   534 Nassovia (1904 OA),32.333,9.382
   535 Montague (1904 OC),79.299,10.2482
   536 Merapi (1904 OF),147.066,8.78
   537 Pauly (1904 OG),40.732,16.168
   538 Friederike (1904 OK),70.640,46.728
   539 Pamina (1904 OL),68.356,13.903
   540 Rosamunde (1904 ON),19.152,9.351
   541 Deborah (1904 OO),60.147,29.368
   542 Susanna (1904 OQ),42.117,10.069
   543 Charlotte (1904 OT),45.613,10.718
   544 Jetta (1904 OU),27.169,7.745
   545 Messalina (1904 OY),112.631,7.2
   546 Herodias (1904 PA),65.945,10.77
   547 Praxedis (1904 PB),52.462,9.105
   548 Kressida (1904 PC),14.008,11.9404
   549 Jessonda (1904 PK),15.530,2.962
   550 Senta (1904 PL),37.434,20.555
   551 Ortrud (1904 PM),81.113,17.416
   552 Sigelinde (1904 PO),88.697,17.156
   553 Kundry (1904 PP),9.010,12.605
   554 Peraga (1905 PS),95.87,13.7128
   555 Norma (1905 PT),31.040,19.508
   556 Phyllis (1905 PW),36.279,4.293
   557 Violetta (1905 PY),22.621,5.0887
   558 Carmen (1905 QB),54.811,11.387
   559 Nanon (1905 QD),79.82,10.059
   560 Delila (1905 QF),35.334,29.913
   561 Ingwelde (1905 QG),31.562,12.012
   562 Salome (1905 QH),32.651,6.351
   563 Suleika (1905 QK),53.29,5.69
   564 Dudu (1905 QM),52.010,8.882
   565 Marbachia (1905 QN),27.332,4.587
   566 Stereoskopia (1905 QO),167.381,12.103
   567 Eleutheria (1905 QP),93.41,7.717
   568 Cheruskia (1905 QS),71.224,13.209
   569 Misa (1905 QT),72.95,11.595
   570 Kythera (1905 QX),87.486,8.120
   571 Dulcinea (1905 QZ),11.696,126.3
   572 Rebekka (1905 RB),28.903,5.6497
   573 Recha (1905 RC),47.582,7.16633
   574 Reginhild (1905 RD),8.456,14.339
   575 Renate (1905 RE),19.106,3.676
   576 Emanuela (1905 RF),74.378,20.404
   577 Rhea (1905 RH),38.234,12.249
   578 Happelia (1905 RZ),69.29,10.061
   579 Sidonia (1905 SD),85.57,16.286
   580 Selene (1905 SE),48.204,9.47
   581 Tauntonia (1905 SH),61.481,16.54
   582 Olympia (1906 SO),44.347,36.312
   583 Klotilde (1905 SP),78.236,9.2135
   584 Semiramis (1906 SY),54.01,5.068
   585 Bilkis (1906 TA),49.761,8.577
   586 Thekla (1906 TC),95.203,13.670
   587 Hypsipyle (1906 TF),11.022,2.8881
   588 Achilles (1906 TG),130.099,7.306
   589 Croatia (1906 TM),93.617,24.821
   590 Tomyris (1906 TO),30.577,5.562
   591 Irmgard (1906 TP),51.86,7.35
   592 Bathseba (1906 TS),43.787,7.7465
   593 Titania (1906 TT),70.145,9.8968
   594 Mireille (1906 TW),9.23,4.966
   595 Polyxena (1906 TZ),90.647,11.801
   596 Scheila (1906 UA),159.726,15.8480
   597 Bandusia (1906 UB),36.06,7.6636
   598 Octavia (1906 UC),78.237,10.8903
   599 Luisa (1906 UJ),70.249,9.566
   600 Musa (1906 UM),25.115,5.8856
   601 Nerthus (1906 UN),75.535,13.59
   602 Marianna (1906 TE),110.444,35.195
   603 Timandra (1906 TJ),13.73,41.79
   604 Tekmessa (1906 TK),64.536,5.5596
   605 Juvisia (1906 UU),69.86,15.93
   606 Brangane (1906 VB),35.758,12.2950
   607 Jenny (1906 VC),67.520,8.521
   608 Adolfine (1906 VD),20.365,8.3458
   609 Fulvia (1906 VF),54.17,35.375
   610 Valeska (1906 VK),19.153,4.9047
   611 Valeria (1906 VL),57.468,6.977
   612 Veronika (1906 VN),38.767,8.243
   613 Ginevra (1906 VP),81.344,12.906
   614 Pia (1906 VQ),29.191,4.572
   615 Roswitha (1906 VR),48.626,4.422
   616 Elly (1906 VT),21.170,5.297
   617 Patroclus (1906 VY),140.362,102.8
   618 Elfriede (1906 VZ),131.292,14.791
   619 Triberga (1906 WC),29.051,29.311
   620 Drakonia (1906 WE),11.385,5.487
   621 Werdandi (1906 WJ),29.726,11.776
   622 Esther (1906 WP),21.874,47.5
   623 Chimaera (1907 XJ),44.09,14.635
   624 Hektor (1907 XM),225,6.924
   625 Xenia (1907 XN),28.287,21.017
   626 Notburga (1907 XO),73.236,19.353
   627 Charis (1907 XS),38.018,27.888
   628 Christine (1907 XT),48.239,16.1783
   629 Bernardina (1907 XU),35.087,3.763
   630 Euphemia (1907 XW),15.542,350.
   631 Philippina (1907 YJ),50.491,5.899
   632 Pyrrha (1907 YX),14.419,4.1167
   633 Zelima (1907 ZM),33.387,11.730
   634 Ute (1907 ZN),74.017,11.7554
   635 Vundtia (1907 ZS),94.415,11.790
   636 Erika (1907 XP),73.147,14.603
   637 Chrysothemis (1907 YE),24.194,3.7
   638 Moira (1907 ZQ),59.594,9.875
   639 Latona (1907 ZT),78.509,6.193
   640 Brambilla (1907 ZW),62.667,7.768
   641 Agnes (1907 ZX),9.446,178.0
   642 Clara (1907 ZY),33.36,8.2308
   643 Scheherezade (1907 ZZ),64.997,14.161
   644 Cosima (1907 AA),17.016,7.556
   645 Agrippina (1907 AG),28.916,32.6
   646 Kastalia (1907 AC),8.153,3.1259
   647 Adelgunde (1907 AD),9.725,32.202
   648 Pippa (1907 AE),68.27,9.263
   649 Josefa (1907 AF),7.726,10.481
   650 Amalasuntha (1907 AM),18.609,16.582
   651 Antikleia (1907 AN),31.895,20.299
   652 Jubilatrix (1907 AU),15.595,2.6627
   653 Berenike (1907 BK),49.793,12.4886
   654 Zelinda (1908 BM),160.736,31.735
   655 Briseis (1907 BF),29.057,160.66
   656 Beagle (1908 BU),62.604,7.035
   657 Gunlod (1908 BV),39.401,15.6652
   658 Asteria (1908 BW),21.894,21.034
   659 Nestor (1908 CS),112.320,15.98
   660 Crescentia (1908 CC),42.302,7.9116
   661 Cloelia (1908 CL),40.081,5.536
   662 Newtonia (1908 CW),22.127,21.095
   663 Gerlinde (1908 DG),107.795,10.251
   664 Judith (1908 DH),85.214,13.764
   665 Sabine (1908 DK),51.09,4.294
   666 Desdemona (1908 DM),32.741,14.607
   667 Denise (1908 DN),82.986,12.687
   668 Dora (1908 DO),23.300,22.914
   669 Kypria (1908 DQ),29.227,14.283
   670 Ottegebe (1908 DR),35.886,10.045
   671 Carnegia (1908 DV),60.604,8.332
   672 Astarte (1908 DY),30.454,22.572
   673 Edda (1908 EA),37.622,22.340
   674 Rachele (1908 EP),96.171,30.982
   675 Ludmilla (1908 DU),76,7.717
   676 Melitta (1909 FN),78.369,16.740
   677 Aaltje (1909 FR),32.403,16.608
   678 Fredegundis (1909 FS),39.585,11.61624
   679 Pax (1909 FY),63.909,8.452
   680 Genoveva (1909 GW),83.92,11.089
   681 Gorgo (1909 GZ),20.390,6.4606
   683 Lanzia (1909 HC),83.04,8.630
   684 Hildburg (1909 HD),19.040,15.89
   685 Hermia (1909 HE),10.95,50.40
   686 Gersuind (1909 HF),55.258,6.3127
   687 Tinette (1909 HG),21.533,7.3962
   688 Melanie (1909 HH),41.614,18.87
   689 Zita (1909 HJ),15.621,6.425
   690 Wratislavia (1909 HZ),134.65,8.64
   691 Lehigh (1909 JG),79.451,12.891
   692 Hippodamia (1901 HD),42.771,8.98
   693 Zerbinetta (1909 HN),82.114,11.475
   694 Ekard (1909 JA),121.891,5.925
   695 Bella (1909 JB),40.620,14.222
   696 Leonora (1910 JJ),81.580,26.8964
   697 Galilea (1910 JO),80.14,16.538
   698 Ernestina (1910 JX),27.037,5.0363
   700 Auravictrix (1910 KE),16.421,6.075
   701 Oriola (1910 KN),42.943,9.090
   702 Alauda (1910 KQ),190.980,8.3531
   703 Noemi (1910 KT),7.250,200.
   704 Interamnia (1910 KU),306.313,8.727
   705 Erminia (1910 KV),132.261,53.96
   706 Hirundo (1910 KX),30.819,22.027
   707 Steina (1910 LD),9.003,414.
   708 Raphaela (1911 LJ),21.43,20.918
   709 Fringilla (1911 LK),95.173,52.4
   710 Gertrud (1911 LM),29.208,8.288
   711 Marmulla (1911 LN),9.026,2.721
